YEAR,MAKE,MODEL,COLOR,INTERIOR,BODY,TOTAL_REVENUE,UNITS_SOLD,MONTH_SALE,AVG_PRICE,AVG_MILEAGE,MARKET_POSITION
2014,Ford,E-Series Van,white,gray,E-Series Van,4009001,190,Feb,21100.01,13426,Below Market
2014,Ford,F-150,white,gray,Regular Cab,3045900,172,Feb,17708.72,9112,Below Market
2014,Ford,E-Series Van,white,gray,e-series van,2992400,146,Jun,20495.89,11859,Above Market
2013,Infiniti,G Sedan,black,black,G Sedan,2679051,116,Feb,23095.27,21048,Above Market
2012,Nissan,Altima,black,black,Sedan,2663150,201,Feb,13249.5,36253,Above Market
2013,Nissan,Altima,black,black,Sedan,2623004,177,Feb,14819.23,33010,Above Market
2012,Nissan,Altima,black,black,Sedan,2583150,239,Jan,10808.16,38206,Below Market
2014,Ford,F-150,white,gray,Regular Cab,2454800,131,Feb,18738.93,8793,Above Market
2012,Nissan,Altima,black,black,Sedan,2435550,188,Jan,12955.05,38348,Above Market
2012,Nissan,Altima,black,black,Sedan,2406300,222,Feb,10839.19,38992,Below Market
2013,Infiniti,G Sedan,gray,black,G Sedan,2271215,108,Jan,21029.77,23202,Below Market
2012,Nissan,Altima,white,black,Sedan,2213950,169,Feb,13100.3,36177,Above Market
2014,Ford,E-Series Van,white,gray,E-Series Van,2213750,99,Feb,22361.11,12433,Above Market
2014,Ford,E-Series Wagon,white,gray,Van,2187750,108,Jan,20256.94,21494,Below Market
2014,Ford,E-Series Wagon,white,gray,Van,2186800,98,Feb,22314.29,20838,Above Market
2013,Infiniti,G Sedan,gray,black,G Sedan,2143650,104,Feb,20612.02,21992,Below Market
2014,Ford,E-Series Van,white,gray,e-series van,2064100,108,Jun,19112.04,14223,Below Market
2013,Infiniti,G Sedan,black,black,G Sedan,2041800,98,Feb,20834.69,20293,Below Market
2014,Ford,E-Series Van,white,gray,E-Series Van,2040700,97,Jan,21038.14,13471,Below Market
2012,Nissan,Altima,gray,black,Sedan,2034100,157,Feb,12956.05,37936,Above Market
2014,Ford,E-Series Van,white,gray,E-Series Van,1992200,90,Jan,22135.56,11756,Above Market
2013,Nissan,Altima,white,black,Sedan,1882750,129,Feb,14594.96,33485,Above Market
2013,Infiniti,G Sedan,gray,black,G Sedan,1850350,81,Feb,22843.83,22006,Above Market
2013,Nissan,Altima,black,black,Sedan,1830651,145,Feb,12625.18,36426,Below Market
2013,Nissan,Altima,white,black,Sedan,1816604,147,Feb,12357.85,43736,Below Market
2014,GMC,Savana Cargo,white,gray,Van,1760300,82,Feb,21467.07,8286,Below Market
2014,Ford,E-Series Van,white,gray,E-Series Van,1749600,90,May,19440,12752,Below Market
2012,Infiniti,G Sedan,black,black,g sedan,1731700,91,Jun,19029.67,37198,Above Market
2013,Infiniti,G Sedan,gray,black,g sedan,1730550,77,Jun,22474.68,21060,Above Market
2014,Ford,E-Series Wagon,white,gray,Van,1721850,88,Feb,19566.48,22115,Below Market
2014,Ford,Fusion,—,black,Sedan,1695900,107,Feb,15849.53,28990,Below Market
2012,Nissan,Altima,white,black,Sedan,1652900,125,Jan,13223.2,38239,Above Market
2014,Ford,F-150,white,gray,Regular Cab,1647900,91,Jan,18108.79,8347,Below Market
2014,Chrysler,Town and Country,gray,black,Minivan,1623000,85,Feb,19094.12,23842,Below Market
2013,Infiniti,G Sedan,black,black,G Sedan,1622950,69,Jan,23521.01,22466,Above Market
2012,Infiniti,G Sedan,black,black,G Sedan,1622850,87,Feb,18653.45,32404,Below Market
2012,Infiniti,G Sedan,black,black,G Sedan,1618200,79,Feb,20483.54,36513,Above Market
2013,Infiniti,G Sedan,black,black,G Sedan,1609901,76,Jan,21182.91,22727,Below Market
2014,GMC,Savana Cargo,white,gray,Van,1601100,71,Feb,22550.7,7630,Above Market
2014,Ford,F-150,white,gray,regular cab,1565700,85,Jun,18420,10612,Above Market
2012,Nissan,Altima,gray,black,Sedan,1562002,142,Feb,11000.01,36747,Below Market
2014,Ford,E-Series Wagon,white,gray,Van,1549200,69,Jan,22452.17,19356,Above Market
2013,Infiniti,G Sedan,gray,black,G Sedan,1538200,65,Jan,23664.62,21743,Above Market
2012,Nissan,Altima,gray,black,Sedan,1536652,141,Jan,10898.24,38502,Below Market
2014,Chrysler,Town and Country,white,black,Minivan,1533050,80,Feb,19163.13,25639,Below Market
2013,Ford,F-150,white,gray,SuperCrew,1506350,64,Feb,23536.72,36110,Below Market
2012,Nissan,Altima,white,black,Sedan,1504801,136,Feb,11064.71,36584,Below Market
2014,Ford,Fusion,—,black,Sedan,1504600,85,Feb,17701.18,24198,Above Market
2014,Chrysler,Town and Country,white,black,Minivan,1478100,76,Feb,19448.68,27638,Above Market
2014,Ford,Fusion,—,black,Sedan,1455600,78,Jan,18661.54,21834,Above Market
2014,Chrysler,Town and Country,blue,black,Minivan,1446000,77,Feb,18779.22,22402,Below Market
2013,Ford,Explorer,black,black,SUV,1430051,53,Jan,26982.09,34005,Below Market
2012,BMW,5 Series,black,black,Sedan,1425200,47,Feb,30323.4,34074,Below Market
2012,Nissan,Altima,silver,black,Sedan,1416950,108,Feb,13119.91,36780,Above Market
2013,Nissan,Altima,silver,black,Sedan,1414601,118,Feb,11988.14,46598,Below Market
2014,Chrysler,Town and Country,blue,black,Minivan,1413800,78,Jan,18125.64,25393,Below Market
2013,Ford,Edge,black,black,SUV,1398950,72,Jan,19429.86,30818,Below Market
2012,Infiniti,G Sedan,gray,black,G Sedan,1395900,68,Feb,20527.94,30178,Above Market
2013,Nissan,Altima,black,black,Sedan,1393900,110,Jan,12671.82,32149,Below Market
2012,Nissan,Altima,white,black,Sedan,1387200,129,Jan,10753.49,45746,Below Market
2013,Nissan,Altima,silver,black,Sedan,1382701,99,Feb,13966.68,38653,Above Market
2013,Ford,Explorer,black,black,SUV,1380351,54,Feb,25562.06,40507,Below Market
2013,Ford,Fusion,black,black,Sedan,1363400,91,Feb,14982.42,30588,Below Market
